path,area,lines,direct_absolute_importers,first_docstring_line
app/modules/dj_control/spotify_mix/volume_curves.py,existing-backend-and-shared-analysis,161,1,Spotify Mix volume curve library.
app/modules/dj_control/style_reference_profiles.py,existing-backend-and-shared-analysis,120,1,Static street-dance reference profiles for style-pick evidence.
app/modules/dj_control/style_taxonomy.py,existing-backend-and-shared-analysis,45,1,Dance-style tag taxonomy used by external metadata scoring.
app/modules/dj_control/transition.py,existing-backend-and-shared-analysis,155,2,DJ Control transition integration layer for HarBeat Mix effects.
app/modules/dj_control/transition_strategy.py,existing-backend-and-shared-analysis,529,1,Cross-style transition strategy selector.
app/modules/dj_control/vibe_search.py,existing-backend-and-shared-analysis,181,0,Vibe Search — free-form text description → ranked songs.
app/modules/dj_set/__init__.py,existing-backend-and-shared-analysis,89,2,DJ Set generation module.
app/modules/dj_set/edge_analyzer.py,existing-backend-and-shared-analysis,575,5,Transition Edge Analyzer.
app/modules/dj_set/purpose_planner.py,existing-backend-and-shared-analysis,161,3,Transition Purpose Planner.
app/modules/dj_set/quality_gate.py,existing-backend-and-shared-analysis,163,2,Set-level Quality Gate.
app/modules/dj_set/role_classifier.py,existing-backend-and-shared-analysis,151,5,Track Role Classifier.
app/modules/dj_set/section_energy.py,existing-backend-and-shared-analysis,275,5,Section-aware energy.
app/modules/dj_set/service.py,existing-backend-and-shared-analysis,157,1,DJ Set service — top-level orchestrator.
app/modules/dj_set/set_optimizer.py,existing-backend-and-shared-analysis,479,4,Stateful Set Optimizer — graph search per template.
app/modules/dj_set/set_templates.py,existing-backend-and-shared-analysis,176,5,Set Templates — 5 distinct DJ narratives.
app/modules/dj_set/track_analysis_adapter.py,existing-backend-and-shared-analysis,86,2,TrackAnalysisV2 adapter for the DJ set planner.
app/modules/dj_set/track_profiler.py,existing-backend-and-shared-analysis,280,5,Track Profiler — single-source-of-truth profile for every track.
app/modules/dj_set/transition_plan.py,existing-backend-and-shared-analysis,137,2,Transition Plan — thin wrapper over mixer_rules.build_transition_spec.
app/modules/fangpi/__init__.py,existing-backend-and-shared-analysis,0,0,
app/modules/fangpi/playlist_parser.py,existing-backend-and-shared-analysis,216,1,Playlist URL parser — Python port of electron/playlistParser.ts.
app/modules/fangpi/router.py,existing-backend-and-shared-analysis,273,1,"Music search & download API routes (Kuwo-backed, fangpi-compatible interface)."
app/modules/fangpi/service.py,existing-backend-and-shared-analysis,303,1,Music search and download service.
app/modules/health/__init__.py,existing-backend-and-shared-analysis,1,0,
app/modules/health/router.py,existing-backend-and-shared-analysis,10,1,
app/modules/library/__init__.py,existing-backend-and-shared-analysis,1,0,Local audio library module.
app/modules/library/acoustic_measurement_analysis.py,existing-backend-and-shared-analysis,131,3,Objective spectral and level measurements shared by semantic feature rules.
app/modules/library/analysis.py,existing-backend-and-shared-analysis,3586,21,
app/modules/library/analysis_vocal_patch_gpu.py,existing-backend-and-shared-analysis,230,2,Optional GPU-backed vocal event detection for library analysis.
app/modules/library/background_tasks.py,existing-backend-and-shared-analysis,490,9,Background tasks for automatic audio analysis and stem separation on import.
app/modules/library/bass_feature_analysis.py,existing-backend-and-shared-analysis,1121,4,Event-level bass behaviour and low-frequency timbre candidate analysis.
app/modules/library/bass_model_validation.py,existing-backend-and-shared-analysis,52,2,Resolve versioned held-out validation for the optional bass note worker.
app/modules/library/beat_model_validation.py,existing-backend-and-shared-analysis,63,2,Bind beat/downbeat accuracy claims to an exact model and postprocessor.
app/modules/library/benchmark_evaluation.py,existing-backend-and-shared-analysis,289,13,Metrics used to calibrate music features and multi-label style decisions.
app/modules/library/dj_feature_extractor.py,existing-backend-and-shared-analysis,275,4,DJ-style feature extractor — fingerprint of an audio file usable for
app/modules/library/drum_analysis.py,existing-backend-and-shared-analysis,728,3,Mature-model-first drum transcription for DJ-oriented metadata.
app/modules/library/drum_model_validation.py,existing-backend-and-shared-analysis,57,2,Resolve versioned held-out validation for optional drum workers.
app/modules/library/drum_pair_similarity.py,existing-backend-and-shared-analysis,470,2,"Explainable, cacheable drum-pattern similarity for two analyzed songs."
app/modules/library/external_metadata/__init__.py,existing-backend-and-shared-analysis,11,3,External metadata enrichment for dance-style evidence.
app/modules/library/external_metadata/clients.py,existing-backend-and-shared-analysis,33,1,Convenience functions for running external metadata clients.
app/modules/library/external_metadata/discogs_client.py,existing-backend-and-shared-analysis,82,2,Discogs client for release genre/style metadata.
app/modules/library/external_metadata/lastfm_client.py,existing-backend-and-shared-analysis,77,2,Last.fm client for track and artist top tags.
app/modules/library/external_metadata/musicbrainz_client.py,existing-backend-and-shared-analysis,91,2,MusicBrainz client for recording identity and tag metadata.
app/modules/library/external_metadata/normalizer.py,existing-backend-and-shared-analysis,112,4,Normalize external genre/style/tag labels into stable snake_case tokens.
app/modules/library/external_metadata/schemas.py,existing-backend-and-shared-analysis,80,6,Data shapes for external metadata enrichment.
app/modules/library/external_metadata/scorer.py,existing-backend-and-shared-analysis,99,3,External tag scoring and final style-score fusion.
app/modules/library/external_metadata/service.py,existing-backend-and-shared-analysis,536,1,External metadata enrichment and style-score persistence.
app/modules/library/feature_calibration.py,existing-backend-and-shared-analysis,151,5,Versioned calibration policy for pre-style feature decisions.
app/modules/library/feature_model_adapters.py,existing-backend-and-shared-analysis,304,3,Optional mature-model adapters for drums and auxiliary style labels.
app/modules/library/feature_registry.py,existing-backend-and-shared-analysis,96,1,Canonical pre-style feature definitions and release gates.
app/modules/library/feature_review_artifacts.py,existing-backend-and-shared-analysis,155,2,Render compact audio and HTML artifacts for manual feature review.
app/modules/library/feature_validation.py,existing-backend-and-shared-analysis,331,2,Minimize human review for pre-style audio feature validation.
app/modules/library/high_frequency_feature_analysis.py,existing-backend-and-shared-analysis,248,2,Orchestrate style-ready music features without emitting style labels.
app/modules/library/high_frequency_style_classifier.py,existing-backend-and-shared-analysis,637,5,Explainable scoring and review gates for the 21-style taxonomy.
app/modules/library/high_frequency_style_taxonomy.py,existing-backend-and-shared-analysis,264,4,Executable music rules for the 21 high-frequency styles.
app/modules/library/key_model_validation.py,existing-backend-and-shared-analysis,66,2,Resolve confidence-gated held-out validation for musical key estimates.
app/modules/library/loudness.py,existing-backend-and-shared-analysis,57,2,Library loudness helpers for Spotify Mix normalization.
app/modules/library/models.py,existing-backend-and-shared-analysis,92,23,
app/modules/library/musical_context_feature_analysis.py,existing-backend-and-shared-analysis,805,3,"Vocal delivery, harmony and production features used by style analysis."
app/modules/library/ncm_decrypt.py,existing-backend-and-shared-analysis,154,1,NCM (NetEase Cloud Music) encrypted file decryption.
app/modules/library/percussion_feature_analysis.py,existing-backend-and-shared-analysis,398,3,Time-frequency analysis of drum and percussion timbre families.
app/modules/library/rhythm_feature_analysis.py,existing-backend-and-shared-analysis,727,3,Bar-aligned rhythm grammar for downstream style classification.
app/modules/library/router.py,existing-backend-and-shared-analysis,428,1,
app/modules/library/same_style_preprocess.py,existing-backend-and-shared-analysis,5,0,Compatibility import. Implementation: preprocessing/publisher.py.
app/modules/library/schemas.py,existing-backend-and-shared-analysis,179,3,
app/modules/library/service.py,existing-backend-and-shared-analysis,213,2,
app/modules/library/stem_analysis.py,existing-backend-and-shared-analysis,322,8,"DJ-oriented analysis for separated vocals, drums, bass, and other stems."
app/modules/library/style_feature_evidence.py,existing-backend-and-shared-analysis,137,10,Versioned evidence records shared by feature and style analysis.
app/modules/library/tempo_model_validation.py,existing-backend-and-shared-analysis,45,2,Resolve the held-out validation claim for BPM metrical-level selection.
app/modules/library/time_stretch.py,existing-backend-and-shared-analysis,72,1,Library-facing time stretching helpers for offline BPM variants.
app/modules/library/vocal_activity.py,existing-backend-and-shared-analysis,5,0,Compatibility import. Implementation: preprocessing/vocal_activity.py.
app/modules/library/vocal_pitch_analysis.py,existing-backend-and-shared-analysis,178,3,Objective pitch measurements for an isolated vocal signal.
app/modules/manifest/__init__.py,existing-backend-and-shared-analysis,251,2,Manifest generation per song / per playlist — download blueprint for RK3588.
app/modules/manifest/router.py,existing-backend-and-shared-analysis,65,1,Manifest API endpoints — downloadable asset blueprint for RK3588 edge.
app/modules/models.py,existing-backend-and-shared-analysis,20,0,
app/modules/music/__init__.py,existing-backend-and-shared-analysis,1,0,Music metadata and cue management.
app/modules/music/audio_processor.py,existing-backend-and-shared-analysis,402,2,Street-dance audio processor — professional pipeline.
app/modules/music/dj_sequencer.py,existing-backend-and-shared-analysis,488,0,Harmonize DJ Sequencing Engine (DJ.studio-inspired)
app/modules/music/dj_transition.py,existing-backend-and-shared-analysis,352,0,DJ Transition Engine (DJ.studio-inspired)
app/modules/music/model_selection.py,existing-backend-and-shared-analysis,72,1,
app/modules/music/models.py,existing-backend-and-shared-analysis,22,2,
app/modules/music/router.py,existing-backend-and-shared-analysis,71,1,
app/modules/music/schemas.py,existing-backend-and-shared-analysis,83,4,
app/modules/music/service.py,existing-backend-and-shared-analysis,225,3,
app/modules/playlists/__init__.py,existing-backend-and-shared-analysis,1,3,
app/modules/playlists/models.py,existing-backend-and-shared-analysis,82,13,
app/modules/playlists/offline_renderer.py,existing-backend-and-shared-analysis,346,1,
app/modules/playlists/router.py,existing-backend-and-shared-analysis,151,1,
app/modules/playlists/schemas.py,existing-backend-and-shared-analysis,191,4,
app/modules/playlists/service.py,existing-backend-and-shared-analysis,1166,2,
app/modules/playlists/stem_automix.py,existing-backend-and-shared-analysis,2153,3,"Stem-aware Automix: transition plan data structures, curve engine, and presets."
app/modules/playlists/stem_automix_integration.py,existing-backend-and-shared-analysis,562,1,Integration bridge: Jetson LibrarySong ↔ stem_automix TrackContext + enhanced renderer.
app/modules/playlists/transition_planner.py,existing-backend-and-shared-analysis,440,3,
app/modules/profiles/__init__.py,existing-backend-and-shared-analysis,1,0,
app/modules/profiles/router.py,existing-backend-and-shared-analysis,29,1,
app/modules/profiles/schemas.py,existing-backend-and-shared-analysis,17,2,
app/modules/profiles/service.py,existing-backend-and-shared-analysis,75,2,
app/modules/recommendations/__init__.py,existing-backend-and-shared-analysis,1,0,
app/modules/recommendations/_run_clap_audio.py,existing-backend-and-shared-analysis,93,0,Subprocess entry point: generate CLAP audio embedding for a song.
app/modules/recommendations/_run_clap_text.py,existing-backend-and-shared-analysis,103,0,Subprocess entry point: generate CLAP text embedding for a query.
app/modules/recommendations/ingest_service.py,existing-backend-and-shared-analysis,205,1,Spotify track ingestion pipeline: download → analyze → embed → index.
app/modules/recommendations/rerank_service.py,existing-backend-and-shared-analysis,101,1,CLAP semantic reranking of Spotify candidate tracks.
app/modules/recommendations/router.py,existing-backend-and-shared-analysis,93,1,
app/modules/recommendations/schemas.py,existing-backend-and-shared-analysis,140,2,
app/modules/recommendations/service.py,existing-backend-and-shared-analysis,622,1,
app/modules/recommendations/spotify_service.py,existing-backend-and-shared-analysis,147,1,Spotify search service — ported from FinalReco (commit 1d65a9dc).
app/modules/recommendations/vector_store.py,existing-backend-and-shared-analysis,674,3,ChromaDB vector store with CLAP cross-modal embeddings.
app/modules/recommendations/vibe_service.py,existing-backend-and-shared-analysis,153,1,Vibe interpretation: natural language → structured search hints.
app/modules/router.py,existing-backend-and-shared-analysis,40,1,
app/modules/session/__init__.py,existing-backend-and-shared-analysis,53,0,C6 Session Orchestration — the system's central coordinator.
app/modules/session/candidate_selector.py,existing-backend-and-shared-analysis,515,2,C3 Candidate Selector — rule-based track recommendation engine.
app/modules/session/coordinator.py,existing-backend-and-shared-analysis,350,2,C6 Session Coordinator — the central nervous system of HarBeat Live DJ.
app/modules/session/queue_manager.py,existing-backend-and-shared-analysis,162,1,C6 Queue manager — maintains the upcoming track buffer.
app/modules/session/safety_pool.py,existing-backend-and-shared-analysis,153,1,"C6 Safety pool — guaranteed ""can't go wrong"" fallback tracks."
app/modules/session/schemas.py,existing-backend-and-shared-analysis,151,3,C6 Session data schemas — the standardized interfaces between modules.
app/modules/session/state_machine.py,existing-backend-and-shared-analysis,254,1,C6 Session state machine — manages the DJ set's energy arc.
app/modules/session/undo_stack.py,existing-backend-and-shared-analysis,96,1,C6 Undo stack — reversible action history for session safety.
app/modules/sessions/__init__.py,existing-backend-and-shared-analysis,1,0,
app/modules/sessions/models.py,existing-backend-and-shared-analysis,50,2,
app/modules/sessions/playlist_engine.py,existing-backend-and-shared-analysis,106,1,智能练舞歌单生成引擎 — Camelot 和谐混音 + BPM 兼容 + 多样性控制
app/modules/sessions/router.py,existing-backend-and-shared-analysis,98,1,
app/modules/sessions/schemas.py,existing-backend-and-shared-analysis,68,2,
app/modules/sessions/service.py,existing-backend-and-shared-analysis,108,1,
app/modules/stream/__init__.py,existing-backend-and-shared-analysis,0,0,
app/modules/stream/router.py,existing-backend-and-shared-analysis,276,2,
app/modules/users/__init__.py,existing-backend-and-shared-analysis,1,0,
app/modules/users/models.py,existing-backend-and-shared-analysis,47,12,
app/modules/users/router.py,existing-backend-and-shared-analysis,27,1,
app/modules/users/schemas.py,existing-backend-and-shared-analysis,28,2,
app/modules/users/service.py,existing-backend-and-shared-analysis,34,5,
app/modules/voice/__init__.py,existing-backend-and-shared-analysis,1,0,
app/modules/voice/keyword_matcher.py,existing-backend-and-shared-analysis,108,1,Keyword-based voice command matching with priority disambiguation.
app/modules/voice/router.py,existing-backend-and-shared-analysis,53,1,Voice command API endpoint.
app/modules/voice/schemas.py,existing-backend-and-shared-analysis,37,1,Voice command request/response models.
app/shared/__init__.py,existing-backend-and-shared-analysis,1,0,
app/shared/audit.py,existing-backend-and-shared-analysis,23,0,
app/shared/command_line.py,existing-backend-and-shared-analysis,37,4,Cross-platform parsing for configured subprocess command templates.
app/shared/config.py,existing-backend-and-shared-analysis,46,15,
app/shared/database.py,existing-backend-and-shared-analysis,22,30,
app/shared/redis.py,existing-backend-and-shared-analysis,30,1,
app/shared/responses.py,existing-backend-and-shared-analysis,12,13,
app/shared/security.py,existing-backend-and-shared-analysis,68,0,
app/tests/__init__.py,tests,1,0,
app/tests/test_acoustic_measurement_analysis.py,tests,34,0,
app/tests/test_adtof_drum_worker.py,tests,34,0,
app/tests/test_analysis_features.py,tests,108,0,
app/tests/test_analysis_manifest.py,tests,128,0,
app/tests/test_analysis_pipeline_persistence.py,tests,144,0,
app/tests/test_assets_router.py,tests,26,0,
app/tests/test_auto_mixer_integration.py,tests,154,0,
app/tests/test_backfill_style_evidence.py,tests,86,0,
app/tests/test_bass_feature_analysis.py,tests,276,0,
app/tests/test_bass_model_validation.py,tests,31,0,
app/tests/test_beat_model_validation.py,tests,31,0,
app/tests/test_benchmark_evaluation.py,tests,115,0,
app/tests/test_bpm_consensus.py,tests,36,0,
app/tests/test_c3_c6_integration.py,tests,233,0,Integration test: C3 CandidateSelector ↔ C6 SessionCoordinator.
app/tests/test_candidate_selector.py,tests,341,0,Tests for C3 Candidate Selector (rule-based recommendation engine).
app/tests/test_command_line.py,tests,36,0,
app/tests/test_default_mix_alignment.py,tests,87,0,
app/tests/test_dj_fingerprint.py,tests,50,0,
app/tests/test_dj_fingerprint_persistence.py,tests,65,0,
app/tests/test_dj_style_pick_multisource.py,tests,156,0,
app/tests/test_drum_analysis.py,tests,154,0,
app/tests/test_drum_model_validation.py,tests,34,0,
app/tests/test_drum_pair_similarity.py,tests,176,0,
app/tests/test_energy_bucket.py,tests,32,0,
app/tests/test_eq_band_mix_strategy.py,tests,83,0,
app/tests/test_eq_transitions.py,tests,69,0,EQ transitions unit tests.
app/tests/test_essentia_vocal_activity_worker.py,tests,39,0,
app/tests/test_evaluate_ballroom_beats.py,tests,20,0,
app/tests/test_evaluate_bass_transcriber.py,tests,70,0,
app/tests/test_evaluate_drum_transcriber.py,tests,20,0,
app/tests/test_evaluate_giantsteps_key.py,tests,39,0,
app/tests/test_evaluate_groove_percussion_timbre.py,tests,14,0,
app/tests/test_evaluate_groove_rhythm_features.py,tests,75,0,
app/tests/test_evaluate_gtzan_beat_this.py,tests,56,0,
app/tests/test_evaluate_guitarset_chords.py,tests,41,0,
app/tests/test_evaluate_guitarset_chroma_change.py,tests,11,0,
app/tests/test_evaluate_jamendo_demucs_vocal_activity.py,tests,25,0,
app/tests/test_evaluate_jamendo_vocal_activity.py,tests,53,0,
app/tests/test_evaluate_mir1k_vocal_pitch.py,tests,73,0,
app/tests/test_evaluate_open_drums_808.py,tests,43,0,
app/tests/test_evaluate_public_style_benchmark.py,tests,37,0,
app/tests/test_extended_analysis.py,tests,371,0,"Tests for extended analysis: time signature, section intensity, groove,"
app/tests/test_external_metadata_live.py,tests,54,0,
app/tests/test_external_metadata_normalizer.py,tests,12,0,
app/tests/test_external_metadata_scorer.py,tests,22,0,
app/tests/test_feature_calibration.py,tests,163,0,
app/tests/test_feature_model_adapters.py,tests,183,0,
app/tests/test_feature_validation.py,tests,200,0,
app/tests/test_filter_transitions.py,tests,61,0,Filter transitions unit tests.
app/tests/test_high_frequency_feature_analysis.py,tests,68,0,
app/tests/test_high_frequency_style_classifier.py,tests,385,0,
app/tests/test_high_frequency_style_taxonomy.py,tests,70,0,
app/tests/test_key_analysis.py,tests,173,0,Tests for comprehensive key/tonal analysis.
app/tests/test_key_model_validation.py,tests,27,0,
app/tests/test_live_pool_prepare.py,tests,57,0,
app/tests/test_loudness.py,tests,78,0,LUFS loudness unit tests.
app/tests/test_loudness_analysis.py,tests,39,0,
app/tests/test_madmom_chord_worker.py,tests,6,0,
app/tests/test_musical_context_feature_analysis.py,tests,259,0,
app/tests/test_percussion_feature_analysis.py,tests,106,0,
app/tests/test_phrase_alignment.py,tests,81,0,Phrase alignment unit tests.
app/tests/test_pre_style_feature_persistence.py,tests,72,0,
app/tests/test_prepare_public_music_benchmark.py,tests,53,0,
app/tests/test_reanalyze_feature_test_library.py,tests,60,0,
app/tests/test_reanalyze_saved_style_results.py,tests,19,0,
app/tests/test_rhythm_feature_analysis.py,tests,249,0,
app/tests/test_section_matching.py,tests,329,0,
app/tests/test_session.py,tests,398,0,Tests for C6 Session Orchestration module.
app/tests/test_smart_reorder.py,tests,68,0,Smart Reorder unit tests.
app/tests/test_spotify_mix_decision.py,tests,111,0,Spotify Mix decision engine tests.
app/tests/test_spotify_mix_integration.py,tests,69,0,Spotify Mix integration surface tests.
app/tests/test_stem_analysis.py,tests,114,0,
app/tests/test_stem_automix_bridge.py,tests,42,0,
app/tests/test_style_enrichment_pipeline.py,tests,100,0,
app/tests/test_style_feature_evidence.py,tests,95,0,
app/tests/test_style_score_fusion.py,tests,26,0,
app/tests/test_target_energy_cut_strategy.py,tests,203,0,
app/tests/test_target_style_cut_strategy.py,tests,109,0,
app/tests/test_tempo_model_validation.py,tests,27,0,
app/tests/test_time_stretch.py,tests,58,0,Time stretching unit tests.
app/tests/test_transition_planner.py,tests,86,0,
app/tests/test_transition_strategy.py,tests,56,0,
app/tests/test_volume_curves.py,tests,86,0,Volume curves unit tests.
archive/analysis-v1/backfill_vocal_events.py,archived,122,0,"Legacy DB backfill (Demucs/RMS), NOT the V2 Silero/NAS publisher."
archive/analysis-v1/run_allinone_isolated.py,archived,96,0,Historical standalone benchmark; not the V2 section-analysis entry point.
cypher-integration/rk3588-edge/audio-engine/audio_analysis.py,other-existing-code,722,0,"Audio Analysis: BPM detection, beat grid tracking, downbeat detection,"
cypher-integration/rk3588-edge/audio-engine/config.py,other-existing-code,79,0,
cypher-integration/rk3588-edge/audio-engine/dj_transition_engine.py,other-existing-code,194,0,DJ Transition Engine - 移植自 harbeat-client
cypher-integration/rk3588-edge/audio-engine/dsp.py,other-existing-code,168,0,轻量 DSP 工具：纯 numpy/Python 实现的双声道 biquad 滤波器（DF-II Transposed）。
cypher-integration/rk3588-edge/audio-engine/engine.py,other-existing-code,2738,0,音频引擎：双 deck + MixPlan 自动 crossfade + 9 键加花。
cypher-integration/rk3588-edge/audio-engine/envelope_runner.py,other-existing-code,131,0,Envelope helpers for MP3-only EQ band mix transitions.
cypher-integration/rk3588-edge/audio-engine/envelopes.py,other-existing-code,102,0,Phase 3.2 — Stem envelope curves.
cypher-integration/rk3588-edge/audio-engine/filter_node.py,other-existing-code,97,0,Reusable filter node for Spotify Mix transitions on RK audio-engine.
cypher-integration/rk3588-edge/audio-engine/gen_dj_sfx.py,other-existing-code,128,0,生成 5 个常见 DJ 加花音效占位 wav，落到 ~/cypher/samples/。
cypher-integration/rk3588-edge/audio-engine/loudness_normalizer.py,other-existing-code,48,0,Loudness normalization helpers for RK audio-engine playback.
cypher-integration/rk3588-edge/audio-engine/main.py,other-existing-code,62,0,audio-engine MVP 入口。
cypher-integration/rk3588-edge/audio-engine/mix_plan.py,other-existing-code,191,0,解析 MixPlan（P2 + Jetson DjMixPlanResult）为统一结构。
cypher-integration/rk3588-edge/audio-engine/scripts/batch_library_mix.py,other-existing-code,168,0,Build a multi-song automix batch report from the Jetson music library.
cypher-integration/rk3588-edge/audio-engine/scripts/gen_dj_sfx.py,other-existing-code,128,0,生成 5 个常见 DJ 加花音效占位 wav，落到 ~/cypher/samples/。
cypher-integration/rk3588-edge/audio-engine/scripts/make_samples.py,other-existing-code,112,0,生成 9 键 sample（44100 stereo）；2/4/5 加大音量、更易听清。
cypher-integration/rk3588-edge/audio-engine/scripts/make_test_wav.py,other-existing-code,28,0,生成测试用 cache/101/original.wav（440Hz 音调，5 秒）。
cypher-integration/rk3588-edge/audio-engine/scripts/render_mix_quality.py,other-existing-code,376,0,Offline render + metrics for HarBeat automix preset tuning.
cypher-integration/rk3588-edge/audio-engine/socket_server.py,other-existing-code,245,0,Unix socket 服务：4 字节 big-endian 长度 + JSON。
cypher-integration/rk3588-edge/audio-engine/stem_curve_player.py,other-existing-code,332,0,RK3588 real-time TransitionPlan curve executor.
cypher-integration/rk3588-edge/audio-engine/strategy_selector.py,other-existing-code,586,0,"Strategy Selector: pick a transition preset from phrase, stem activity, key,"
cypher-integration/rk3588-edge/audio-engine/transition_planner.py,other-existing-code,688,0,Transition Planner: 输入 N 首歌的分析数据 → 逐对候选窗口评分 → 生成完整 DJ Mix Plan。
cypher-integration/rk3588-edge/edge-agent/edge_agent/__init__.py,other-existing-code,1,0,Cypher RK3588 edge-agent package.
